window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,B,major,0.8207
7.48,22.43,B,major,0.8195
14.95,29.91,F#,major,0.6768
22.43,37.38,B,major,0.7683
29.91,44.86,B,major,0.8906
37.38,52.34,B,major,0.8584
44.86,59.81,B,major,0.824
52.34,67.29,B,major,0.8148
59.81,74.77,F#,major,0.8092
67.29,82.25,B,major,0.7068
74.77,89.72,B,major,0.6565
82.25,97.2,B,major,0.7464
89.72,104.68,B,major,0.796
97.2,112.15,B,major,0.8512
104.68,119.63,B,major,0.8876
112.15,127.11,B,major,0.8701
119.63,134.58,B,major,0.8439
127.11,142.06,B,major,0.8375
134.58,149.54,B,major,0.7772
142.06,157.01,B,major,0.7579
149.54,164.49,F#,major,0.9185
157.01,171.97,F#,major,0.8214
164.49,179.44,F#,major,0.8275
171.97,186.92,F#,major,0.8469
179.44,194.4,B,major,0.7086
186.92,201.87,B,major,0.8393
194.4,209.35,B,major,0.7739
201.87,216.83,B,major,0.656
209.35,224.3,F#,major,0.7348
216.83,231.78,B,major,0.765
224.3,239.26,B,major,0.8678
231.78,246.74,B,major,0.811
239.26,254.21,B,major,0.8911
246.74,258.76,B,major,0.796
