window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,E,major,0.4583
7.48,22.43,E,major,0.5951
14.95,29.91,E,major,0.5752
22.43,37.38,A,major,0.586
29.91,44.86,A,major,0.6123
37.38,52.34,A,major,0.6686
44.86,59.81,A,major,0.654
52.34,67.29,A,major,0.6514
59.81,74.77,D,major,0.6778
67.29,82.25,A,major,0.6762
74.77,89.72,C#,minor,0.5187
82.25,97.2,A,major,0.5988
89.72,104.68,A,major,0.6847
97.2,112.15,A,major,0.6436
104.68,119.63,D,major,0.891
112.15,127.11,D,major,0.873
119.63,134.58,A,major,0.9072
127.11,142.06,A,major,0.5878
134.58,149.54,A,major,0.5909
142.06,157.01,A,major,0.7426
149.54,164.49,D,minor,0.433
157.01,171.97,D#,major,0.5663
164.49,179.44,D#,major,0.5851
171.97,186.92,D#,major,0.6228
179.44,194.4,A#,major,0.5721
186.92,196.0,A#,major,0.4723
