window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,E,major,0.6863
7.48,22.43,E,major,0.6422
14.95,29.91,E,major,0.6776
22.43,37.38,E,major,0.7292
29.91,44.86,E,major,0.7226
37.38,52.34,E,major,0.6983
44.86,59.81,E,major,0.6182
52.34,67.29,E,minor,0.5458
59.81,74.77,E,major,0.6286
67.29,82.25,E,major,0.7412
74.77,89.72,E,major,0.6085
82.25,97.2,E,major,0.538
89.72,104.68,E,major,0.6484
97.2,112.15,E,major,0.7159
104.68,119.63,E,major,0.6876
112.15,127.11,E,major,0.6848
119.63,134.58,E,major,0.7008
127.11,142.06,E,major,0.6905
134.58,149.54,E,major,0.6491
142.06,157.01,E,major,0.5924
149.54,164.49,E,major,0.4905
157.01,171.97,E,major,0.5776
164.49,179.44,E,major,0.6983
171.97,186.92,E,major,0.598
179.44,194.4,E,major,0.5687
186.92,201.87,E,major,0.8592
194.4,209.35,E,major,0.857
201.87,216.83,E,major,0.5494
209.35,224.3,G#,minor,0.4263
216.83,231.78,G#,minor,0.4114
224.3,239.26,E,major,0.6222
231.78,246.74,E,major,0.502
239.26,254.21,E,major,0.4675
246.74,261.69,E,major,0.6209
254.21,269.17,E,major,0.5716
261.69,276.64,E,major,0.5963
269.17,284.12,E,major,0.6716
276.64,284.72,E,minor,0.586
