window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,D,major,0.7843
7.48,22.43,D,major,0.7688
14.95,29.91,D,major,0.4699
22.43,37.38,A,major,0.4261
29.91,44.86,A,major,0.3771
37.38,52.34,A,major,0.399
44.86,59.81,A,major,0.4549
52.34,67.29,A,major,0.5108
59.81,74.77,A,major,0.5023
67.29,82.25,A,major,0.5176
74.77,89.72,D,major,0.6966
82.25,97.2,D,major,0.6389
89.72,104.68,D,major,0.636
97.2,112.15,A,major,0.5117
104.68,119.63,A,major,0.5186
112.15,127.11,A,minor,0.3912
119.63,134.58,D#,major,0.3919
127.11,142.06,D#,major,0.4692
134.58,149.54,G,minor,0.406
142.06,157.01,D,major,0.7544
149.54,164.49,A,major,0.7347
157.01,171.97,A,major,0.6076
164.49,179.44,F#,minor,0.5455
171.97,186.92,A,major,0.4813
179.44,194.4,F#,minor,0.5261
186.92,201.87,A,major,0.6271
194.4,209.35,D,major,0.4812
201.87,216.83,D,major,0.6998
209.35,217.97,D,major,0.6664
