window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,F,minor,0.5544
7.48,22.43,F,minor,0.8196
14.95,29.91,F,minor,0.8343
22.43,37.38,F,minor,0.7871
29.91,44.86,F,minor,0.5035
37.38,52.34,F,major,0.3947
44.86,59.81,F,minor,0.4259
52.34,67.29,F,minor,0.5789
59.81,74.77,F,minor,0.6404
67.29,82.25,F,minor,0.6736
74.77,89.72,F,minor,0.7009
82.25,97.2,F,minor,0.5397
89.72,104.68,A#,major,0.8386
97.2,112.15,A#,major,0.7149
104.68,119.63,F,minor,0.462
112.15,127.11,F,minor,0.4414
119.63,134.58,F,major,0.5431
127.11,142.06,F,major,0.6099
134.58,149.54,F,major,0.6552
142.06,157.01,A,minor,0.8071
149.54,164.0,A,minor,0.7263
