window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,B,major,0.728
7.48,22.43,B,major,0.7738
14.95,29.91,B,minor,0.6506
22.43,37.38,B,minor,0.7803
29.91,44.86,B,minor,0.8633
37.38,52.34,B,minor,0.8946
44.86,59.81,B,minor,0.9028
52.34,67.29,B,minor,0.7366
59.81,74.77,D,major,0.7861
67.29,82.25,D,major,0.7169
74.77,89.72,B,minor,0.6857
82.25,97.2,B,minor,0.613
89.72,104.68,B,minor,0.5742
97.2,112.15,F#,minor,0.634
104.68,119.63,B,minor,0.665
112.15,127.11,G,major,0.6013
119.63,134.58,G,major,0.6778
127.11,142.06,D,major,0.7781
134.58,149.54,D,major,0.6592
142.06,157.01,F#,minor,0.6245
149.54,164.49,F#,minor,0.5704
157.01,171.97,B,minor,0.5756
164.49,179.44,B,minor,0.6257
171.97,186.92,B,minor,0.6597
179.44,194.4,C,major,0.7875
186.92,201.87,D,major,0.7046
194.4,209.35,D,major,0.7627
201.87,216.83,B,minor,0.7789
209.35,224.3,B,minor,0.8064
216.83,231.78,B,minor,0.8445
224.3,239.26,B,minor,0.7656
231.78,246.74,B,minor,0.6507
239.26,254.21,F#,minor,0.6079
246.74,261.69,D,major,0.6734
254.21,269.17,D,major,0.7763
261.69,276.64,B,minor,0.7735
269.17,284.12,B,minor,0.7483
276.64,291.6,C,major,0.736
284.12,299.07,C,major,0.7405
291.6,306.55,C,major,0.8035
299.07,314.03,C,major,0.731
306.55,321.5,C,major,0.6526
314.03,328.98,D,minor,0.768
321.5,333.58,D,major,0.704
