window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,A#,minor,0.5671
7.48,22.43,A#,minor,0.5915
14.95,29.91,A#,minor,0.6074
22.43,37.38,A#,minor,0.5985
29.91,44.86,A#,minor,0.492
37.38,52.34,A#,minor,0.5148
44.86,59.81,D#,minor,0.5485
52.34,67.29,E,minor,0.2821
59.81,74.77,E,minor,0.6191
67.29,82.25,E,minor,0.5722
74.77,89.72,E,minor,0.41
82.25,97.2,F#,major,0.3805
89.72,104.68,A#,minor,0.5665
97.2,112.15,A#,minor,0.6089
104.68,119.63,A#,minor,0.5476
112.15,127.11,A#,minor,0.5095
119.63,134.58,F,minor,0.4417
127.11,142.06,F,minor,0.5451
134.58,149.54,C#,major,0.6811
142.06,157.01,D#,minor,0.4323
149.54,164.49,E,minor,0.3087
157.01,171.97,E,minor,0.4684
164.49,179.44,E,minor,0.559
171.97,186.92,E,minor,0.54
179.44,194.4,G,major,0.5751
186.92,201.87,E,minor,0.5626
194.4,209.35,D,major,0.58
201.87,216.83,F#,minor,0.4181
209.35,224.3,A#,minor,0.5887
216.83,226.0,A#,major,0.5534
