window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,G#,minor,0.5814
7.48,22.43,G#,minor,0.6281
14.95,29.91,G#,minor,0.7148
22.43,37.38,B,major,0.7654
29.91,44.86,G#,minor,0.768
37.38,52.34,G#,minor,0.9028
44.86,59.81,G#,minor,0.6579
52.34,67.29,D#,minor,0.4607
59.81,74.77,B,major,0.7691
67.29,82.25,B,major,0.8893
74.77,89.72,B,major,0.7961
82.25,97.2,G#,minor,0.7711
89.72,104.68,G#,minor,0.6992
97.2,112.15,B,major,0.7698
104.68,119.63,B,major,0.7484
112.15,127.11,G#,minor,0.6832
119.63,134.58,D#,minor,0.5462
127.11,142.06,B,major,0.7543
134.58,149.54,B,major,0.9329
142.06,157.01,B,major,0.8561
149.54,164.49,G#,minor,0.6602
157.01,171.97,B,major,0.6745
164.49,179.44,B,major,0.7941
171.97,186.92,B,major,0.7639
179.44,194.4,G#,minor,0.7823
186.92,201.87,G#,minor,0.7452
194.4,207.33,G#,major,0.3938
