window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,B,minor,0.7873
7.48,22.43,E,minor,0.6934
14.95,29.91,E,minor,0.6826
22.43,37.38,E,minor,0.7312
29.91,44.86,E,minor,0.758
37.38,52.34,E,minor,0.7636
44.86,59.81,G,major,0.6917
52.34,67.29,B,minor,0.8409
59.81,74.77,B,minor,0.7983
67.29,82.25,B,minor,0.7629
74.77,89.72,B,minor,0.8219
82.25,97.2,B,minor,0.7098
89.72,104.68,B,minor,0.6431
97.2,112.15,E,minor,0.708
104.68,119.63,E,minor,0.7748
112.15,127.11,B,minor,0.7101
119.63,134.58,B,minor,0.7457
127.11,142.06,G,major,0.6999
134.58,149.54,E,minor,0.6326
142.06,157.01,B,minor,0.6492
149.54,164.49,B,minor,0.7715
157.01,171.97,B,minor,0.8477
164.49,179.44,B,minor,0.7547
171.97,186.92,G,major,0.7052
179.44,194.4,B,minor,0.759
186.92,201.87,B,minor,0.709
194.4,209.35,B,minor,0.7829
201.87,216.83,B,minor,0.8351
209.35,222.91,E,minor,0.7365
