window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,A,major,0.5982
7.48,22.43,A,major,0.5512
14.95,29.91,A,major,0.5772
22.43,37.38,A,major,0.5704
29.91,44.86,D,minor,0.4764
37.38,52.34,G,major,0.5608
44.86,59.81,E,minor,0.7176
52.34,67.29,E,minor,0.7648
59.81,74.77,A,major,0.6213
67.29,82.25,A,major,0.699
74.77,89.72,A,major,0.668
82.25,97.2,A,major,0.568
89.72,104.68,A,major,0.5938
97.2,112.15,A,major,0.5452
104.68,119.63,D,major,0.542
112.15,127.11,E,minor,0.5357
119.63,134.58,E,minor,0.6983
127.11,142.06,A,major,0.7248
134.58,149.54,A,major,0.719
142.06,157.01,A,major,0.6723
149.54,164.49,A,major,0.6457
157.01,171.97,C,major,0.6888
164.49,179.44,E,minor,0.7759
171.97,186.92,E,minor,0.7799
179.44,194.4,E,minor,0.6668
186.92,201.87,E,minor,0.7992
194.4,209.35,E,minor,0.6109
201.87,216.83,A,major,0.6556
209.35,224.3,A,major,0.7833
216.83,227.46,A,major,0.6116
