window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,G#,major,0.809
7.48,22.43,G#,major,0.6441
14.95,29.91,G#,major,0.8145
22.43,37.38,G#,major,0.7125
29.91,44.86,G#,major,0.8674
37.38,52.34,G#,major,0.7658
44.86,59.81,G#,major,0.824
52.34,67.29,F,minor,0.7855
59.81,74.77,F,minor,0.7868
67.29,82.25,F,minor,0.8265
74.77,89.72,G#,major,0.7044
82.25,97.2,G#,major,0.74
89.72,104.68,G#,major,0.738
97.2,112.15,G#,major,0.8672
104.68,119.63,G#,major,0.8263
112.15,127.11,C,minor,0.5649
119.63,134.58,C#,minor,0.4942
127.11,142.06,A,major,0.8182
134.58,149.54,A,major,0.9117
142.06,157.01,A,major,0.8795
149.54,164.49,E,major,0.8366
157.01,167.25,E,major,0.7368
