window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,C,major,0.694
7.48,22.43,C,major,0.7112
14.95,29.91,A#,major,0.8347
22.43,37.38,A#,major,0.8242
29.91,44.86,A#,major,0.6632
37.38,52.34,A#,major,0.7971
44.86,59.81,A#,major,0.7876
52.34,67.29,F,major,0.784
59.81,74.77,F,major,0.8249
67.29,82.25,F,major,0.8348
74.77,89.72,F,major,0.6726
82.25,97.2,F,major,0.6351
89.72,104.68,F,major,0.6911
97.2,112.15,F,major,0.5504
104.68,119.63,A,minor,0.4779
112.15,127.11,D,minor,0.6289
119.63,134.58,D,minor,0.7026
127.11,142.06,A#,major,0.7864
134.58,149.54,A#,major,0.8006
142.06,157.01,F,major,0.8473
149.54,164.49,F,major,0.8635
157.01,171.97,F,major,0.7351
164.49,179.44,A#,major,0.797
171.97,186.92,A#,major,0.8438
179.44,194.4,A#,major,0.8411
186.92,201.87,A#,major,0.6131
194.4,209.35,A#,major,0.7608
201.87,216.83,A#,major,0.7569
209.35,224.3,A#,major,0.6756
216.83,231.78,F,major,0.8282
224.3,239.26,F,major,0.8552
231.78,246.74,F,major,0.6855
239.26,254.21,F,major,0.6305
246.74,261.69,F,major,0.7764
254.21,269.17,C,major,0.5811
261.69,276.64,C,major,0.6141
269.17,277.76,F,major,0.6823
