window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,E,minor,0.5215
7.48,22.43,F,minor,0.2697
14.95,29.91,E,major,0.3664
22.43,37.38,E,major,0.3876
29.91,44.86,E,major,0.3781
37.38,52.34,E,major,0.2702
44.86,59.81,A,major,0.2909
52.34,67.29,E,major,0.4673
59.81,74.77,E,major,0.4137
67.29,82.25,E,major,0.4021
74.77,89.72,E,major,0.4132
82.25,97.2,E,major,0.4074
89.72,104.68,E,major,0.4173
97.2,112.15,C#,major,0.3605
104.68,119.63,E,major,0.3728
112.15,127.11,E,major,0.4315
119.63,134.58,E,major,0.5121
127.11,142.06,E,major,0.6148
134.58,149.54,E,major,0.6199
142.06,157.01,E,major,0.5242
149.54,164.49,F,minor,0.3613
157.01,171.97,F,minor,0.4169
164.49,179.44,F,minor,0.3145
171.97,186.92,F,major,0.3869
179.44,194.4,F,major,0.4246
186.92,201.87,F,major,0.4753
194.4,209.35,F,major,0.4795
201.87,215.23,F,major,0.4569
