window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,D,minor,0.6964
7.48,22.43,F,major,0.7829
14.95,29.91,F,major,0.8189
22.43,37.38,F,major,0.8325
29.91,44.86,F,major,0.8002
37.38,52.34,D,minor,0.7802
44.86,59.81,D,minor,0.6728
52.34,67.29,F,major,0.6458
59.81,74.77,F,major,0.8349
67.29,82.25,F,major,0.8539
74.77,89.72,F,major,0.9047
82.25,97.2,D,minor,0.794
89.72,104.68,D,minor,0.7831
97.2,112.15,D,minor,0.8171
104.68,119.63,D,minor,0.9185
112.15,127.11,F,major,0.8614
119.63,134.58,A,minor,0.7819
127.11,142.06,A,minor,0.6866
134.58,149.54,F,major,0.7586
142.06,157.01,F,major,0.8444
149.54,164.49,C,major,0.7233
157.01,171.97,D,major,0.781
164.49,179.44,D,major,0.7419
171.97,186.92,D,minor,0.6519
179.44,194.4,A,minor,0.7369
186.92,201.87,F,major,0.7823
194.4,209.35,F,major,0.6097
201.87,216.83,A,minor,0.5975
209.35,224.3,D,minor,0.7106
216.83,231.78,F,major,0.8347
224.3,239.26,D,minor,0.7843
231.78,246.53,D,minor,0.7835
