window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,B,minor,0.6383
7.48,22.43,E,minor,0.8045
14.95,29.91,E,minor,0.747
22.43,37.38,A,major,0.5782
29.91,44.86,A,major,0.5309
37.38,52.34,B,minor,0.5621
44.86,59.81,B,minor,0.5981
52.34,67.29,E,minor,0.7397
59.81,74.77,E,minor,0.7989
67.29,82.25,E,minor,0.7809
74.77,89.72,B,minor,0.5393
82.25,97.2,B,minor,0.4484
89.72,104.68,A,major,0.496
97.2,112.15,B,minor,0.4332
104.68,119.63,B,minor,0.6111
112.15,127.11,B,minor,0.6298
119.63,134.58,E,minor,0.7629
127.11,142.06,E,minor,0.7775
134.58,149.54,E,minor,0.6317
142.06,151.02,A,minor,0.4729
