window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,B,minor,0.7801
7.48,22.43,C,major,0.5009
14.95,29.91,E,minor,0.46
22.43,37.38,E,minor,0.6046
29.91,44.86,E,minor,0.5218
37.38,52.34,C,major,0.4613
44.86,59.81,E,minor,0.4499
52.34,67.29,E,major,0.475
59.81,74.77,F#,minor,0.3718
67.29,82.25,C,major,0.4525
74.77,89.72,E,minor,0.5507
82.25,97.2,D,major,0.4004
89.72,104.68,D,major,0.4138
97.2,112.15,E,minor,0.4219
104.68,119.63,E,minor,0.4081
112.15,127.11,E,minor,0.4658
119.63,134.58,E,minor,0.4383
127.11,142.06,C#,major,0.5166
134.58,149.54,C,major,0.3274
142.06,157.01,E,minor,0.4494
149.54,164.49,E,minor,0.5209
157.01,171.97,E,minor,0.6047
164.49,179.44,E,minor,0.38
171.97,186.92,E,minor,0.4904
179.44,194.4,C,major,0.5666
186.92,201.87,C,major,0.5793
194.4,209.35,C,major,0.4645
201.87,216.83,E,minor,0.3724
209.35,224.3,E,minor,0.5044
216.83,231.78,E,minor,0.3418
224.3,239.26,C,major,0.74
231.78,245.99,C,major,0.8023
