window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,E,major,0.8922
7.48,22.43,E,major,0.7158
14.95,29.91,B,major,0.7037
22.43,37.38,B,major,0.64
29.91,44.86,E,major,0.6091
37.38,52.34,C#,minor,0.5965
44.86,59.81,F#,minor,0.6783
52.34,67.29,F#,minor,0.6996
59.81,74.77,B,major,0.7796
67.29,82.25,B,major,0.7457
74.77,89.72,A,major,0.6933
82.25,97.2,A,major,0.631
89.72,104.68,E,major,0.7153
97.2,112.15,E,major,0.865
104.68,119.63,E,major,0.8475
112.15,127.11,E,major,0.7359
119.63,134.58,F#,minor,0.6489
127.11,142.06,F#,minor,0.7892
134.58,149.54,F#,minor,0.756
142.06,157.01,B,major,0.6845
149.54,164.49,B,major,0.7794
157.01,171.97,E,major,0.7957
164.49,179.44,E,major,0.6672
171.97,186.92,F#,minor,0.7937
179.44,194.4,F#,minor,0.7668
186.92,201.87,F#,minor,0.5724
194.4,209.35,F#,minor,0.5528
201.87,216.83,F#,minor,0.6376
209.35,224.3,B,major,0.7663
216.83,231.78,B,major,0.8222
224.3,239.26,E,major,0.7548
231.78,246.74,B,major,0.8144
239.26,254.21,D,major,0.7826
246.74,258.0,D,major,0.8208
