window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,A,major,0.7068
7.48,22.43,E,minor,0.7424
14.95,29.91,E,minor,0.7747
22.43,37.38,A,minor,0.69
29.91,44.86,E,minor,0.6214
37.38,52.34,E,minor,0.6214
44.86,59.81,E,minor,0.4464
52.34,67.29,D#,major,0.3859
59.81,74.77,E,minor,0.4897
67.29,82.25,C,major,0.6397
74.77,89.72,C,major,0.7169
82.25,97.2,C,major,0.7107
89.72,104.68,A,minor,0.6937
97.2,112.15,A,minor,0.7283
104.68,119.63,C,major,0.705
112.15,127.11,F,major,0.5633
119.63,134.58,F,major,0.5985
127.11,142.06,E,minor,0.4162
134.58,149.54,F,minor,0.3499
142.06,157.01,E,minor,0.6462
149.54,164.49,E,minor,0.675
157.01,171.97,E,minor,0.7137
164.49,179.44,E,minor,0.6368
171.97,186.92,E,minor,0.5423
179.44,194.4,A,major,0.534
186.92,201.87,E,minor,0.815
194.4,209.35,E,minor,0.8477
201.87,216.83,G,minor,0.6163
209.35,224.3,D#,major,0.4126
216.83,231.78,E,minor,0.7424
224.3,239.26,E,minor,0.79
231.78,246.74,A,minor,0.6765
239.26,254.21,C,major,0.706
246.74,261.69,C,major,0.6924
254.21,269.17,C,major,0.8642
261.69,273.0,C,major,0.9239
