window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,G,major,0.7622
7.48,22.43,G,major,0.7601
14.95,29.91,C,major,0.5295
22.43,37.38,B,minor,0.5207
29.91,44.86,G,major,0.7594
37.38,52.34,G,major,0.7704
44.86,59.81,G,minor,0.6351
52.34,67.29,G,minor,0.7195
59.81,74.77,G,major,0.8075
67.29,82.25,B,minor,0.8077
74.77,89.72,G,major,0.7369
82.25,97.2,G,major,0.7244
89.72,104.68,C,major,0.6476
97.2,112.15,C,major,0.5904
104.68,119.63,G,major,0.5958
112.15,127.11,G,major,0.7285
119.63,134.58,G,major,0.6798
127.11,142.06,G,major,0.6788
134.58,149.54,G,major,0.7943
142.06,157.01,G,major,0.7684
149.54,164.49,G,major,0.7782
157.01,171.97,G,major,0.8255
164.49,179.44,G,major,0.8559
171.97,186.92,G,major,0.7786
179.44,194.4,G,major,0.6786
186.92,201.87,G,major,0.8352
194.4,209.35,G,major,0.8958
201.87,216.83,G,major,0.7972
209.35,224.3,G,major,0.8486
216.83,231.78,G,major,0.7875
224.3,239.26,C,major,0.7889
231.78,243.14,C,major,0.811
