window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,G#,minor,0.4686
7.48,22.43,G#,minor,0.4971
14.95,29.91,G#,minor,0.5186
22.43,37.38,G#,minor,0.5081
29.91,44.86,G#,minor,0.5238
37.38,52.34,G#,minor,0.3701
44.86,59.81,G#,minor,0.3269
52.34,67.29,G#,minor,0.4462
59.81,74.77,G#,minor,0.3888
67.29,82.25,G#,minor,0.3711
74.77,89.72,G#,minor,0.4968
82.25,97.2,G#,minor,0.5639
89.72,104.68,G#,minor,0.4836
97.2,112.15,G#,minor,0.4756
104.68,119.63,G#,minor,0.5071
112.15,127.11,G#,minor,0.5364
119.63,134.58,G#,minor,0.4574
127.11,142.06,G#,minor,0.4507
134.58,149.54,F#,minor,0.3011
142.06,157.01,G#,minor,0.309
149.54,164.49,G#,minor,0.4588
157.01,171.97,G#,minor,0.3924
164.49,179.44,G#,minor,0.4165
171.97,186.92,G#,minor,0.4912
179.44,194.4,G#,minor,0.5165
186.92,201.87,G#,minor,0.5152
194.4,209.35,G#,minor,0.5106
201.87,216.83,G#,minor,0.4991
209.35,221.75,G#,minor,0.4257
