window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,A#,major,0.8066
7.48,22.43,A#,major,0.6218
14.95,29.91,C,minor,0.4923
22.43,37.38,D#,major,0.4199
29.91,44.86,F,major,0.5548
37.38,52.34,C,minor,0.7364
44.86,59.81,C,minor,0.7215
52.34,67.29,F,major,0.5538
59.81,74.77,A,minor,0.7124
67.29,82.25,F,major,0.6163
74.77,89.72,F,major,0.7093
82.25,97.2,F,major,0.8675
89.72,104.68,F,major,0.8829
97.2,112.15,A#,major,0.6602
104.68,119.63,D#,major,0.8404
112.15,127.11,C,minor,0.4926
119.63,134.58,A#,minor,0.4103
127.11,142.06,G#,major,0.636
134.58,149.54,D#,major,0.7108
142.06,157.01,F,major,0.7116
149.54,164.49,F,major,0.8021
157.01,171.97,F,major,0.577
164.49,179.44,F,major,0.752
171.97,186.92,F,major,0.8294
179.44,194.4,F,major,0.8899
186.92,201.87,F,major,0.8565
194.4,209.35,A,minor,0.5874
201.87,216.83,A,minor,0.498
209.35,224.3,F,major,0.8463
216.83,231.78,F,major,0.8655
224.3,239.26,A,minor,0.7389
231.78,246.74,A,minor,0.7286
239.26,254.21,F,major,0.7207
246.74,261.69,F,major,0.8807
254.21,269.17,F,major,0.705
261.69,270.93,A,minor,0.4696
