window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,A#,major,0.8234
7.48,22.43,A#,major,0.8042
14.95,29.91,A#,major,0.4659
22.43,37.38,A#,major,0.4094
29.91,44.86,D#,major,0.322
37.38,52.34,A,minor,0.2959
44.86,59.81,F,major,0.5433
52.34,67.29,F,major,0.5323
59.81,74.77,D,minor,0.3877
67.29,82.25,D#,major,0.3171
74.77,89.72,D#,major,0.314
82.25,97.2,D#,major,0.4261
89.72,104.68,A#,major,0.5261
97.2,112.15,A#,major,0.4127
104.68,119.63,A#,major,0.4107
112.15,127.11,D#,major,0.2831
119.63,134.58,A,minor,0.4439
127.11,142.06,F,major,0.5993
134.58,149.54,F,major,0.5424
142.06,157.01,A#,major,0.3164
149.54,164.49,A,minor,0.2877
157.01,171.97,A#,major,0.3396
164.49,179.44,D#,major,0.4932
171.97,186.92,A#,major,0.4275
179.44,194.4,D,minor,0.5019
186.92,201.87,D,minor,0.7356
194.4,209.35,D,minor,0.5873
201.87,216.83,A,minor,0.3383
209.35,224.3,A#,major,0.5131
216.83,231.78,A#,major,0.7403
224.3,238.42,A#,major,0.6835
