window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,E,major,0.7495
7.48,22.43,E,major,0.8533
14.95,29.91,G#,minor,0.7039
22.43,37.38,G#,minor,0.7276
29.91,44.86,B,major,0.7339
37.38,52.34,C#,minor,0.7732
44.86,59.81,C#,major,0.7429
52.34,67.29,F#,minor,0.6304
59.81,74.77,D,major,0.6647
67.29,82.25,B,minor,0.5361
74.77,89.72,G,major,0.5233
82.25,97.2,G,major,0.6476
89.72,104.68,C#,minor,0.4258
97.2,112.15,C#,minor,0.7387
104.68,119.63,C#,minor,0.8034
112.15,127.11,C#,major,0.7905
119.63,134.58,F#,minor,0.5924
127.11,142.06,D,major,0.8995
134.58,149.54,G,major,0.691
142.06,157.01,G,major,0.3625
149.54,164.49,G,major,0.573
157.01,171.97,G#,minor,0.745
164.49,179.44,G#,minor,0.6631
171.97,184.6,E,major,0.836
