window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,D,major,0.946
7.48,22.43,D,major,0.9606
14.95,29.91,D,major,0.8917
22.43,37.38,D,major,0.91
29.91,44.86,D,major,0.9482
37.38,52.34,D,major,0.8806
44.86,59.81,D,major,0.8171
52.34,67.29,D,major,0.9154
59.81,74.77,D,major,0.9387
67.29,82.25,D,major,0.7798
74.77,89.72,D,major,0.9309
82.25,97.2,D,major,0.9552
89.72,104.68,D,major,0.954
97.2,112.15,D,major,0.9368
104.68,119.63,D,major,0.9476
112.15,127.11,D,major,0.9056
119.63,134.58,F#,minor,0.8493
127.11,142.06,D,major,0.9226
134.58,149.54,D,major,0.9528
142.06,157.01,D,major,0.8226
149.54,164.49,D,major,0.9236
157.01,171.97,D,major,0.9286
164.49,179.44,D,major,0.9648
171.97,186.92,D,major,0.9494
179.44,194.4,D,major,0.9478
186.92,201.87,D,major,0.904
194.4,209.35,D,major,0.8564
201.87,216.83,D,major,0.9241
209.35,224.3,D,major,0.9272
216.83,231.78,D,major,0.9127
224.3,232.97,D,major,0.8249
