window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,G,major,0.7311
7.48,22.43,E,minor,0.6567
14.95,29.91,E,minor,0.521
22.43,37.38,E,minor,0.5135
29.91,44.86,E,minor,0.5309
37.38,52.34,E,minor,0.5185
44.86,59.81,E,minor,0.4505
52.34,67.29,E,minor,0.4686
59.81,74.77,E,minor,0.5054
67.29,82.25,E,minor,0.4921
74.77,89.72,E,minor,0.4921
82.25,97.2,E,minor,0.4852
89.72,104.68,E,minor,0.5119
97.2,112.15,E,minor,0.5119
104.68,119.63,E,minor,0.4523
112.15,127.11,E,minor,0.4702
119.63,134.58,E,minor,0.4937
127.11,142.06,E,minor,0.4872
134.58,149.54,E,minor,0.4823
142.06,157.01,E,minor,0.4904
149.54,164.49,E,minor,0.5047
157.01,171.97,E,minor,0.486
164.49,179.44,E,minor,0.472
171.97,186.92,E,minor,0.4845
179.44,194.4,E,minor,0.4534
186.92,201.87,G,major,0.6868
194.4,209.35,E,minor,0.6419
201.87,216.83,E,minor,0.4932
209.35,224.3,E,minor,0.4934
216.83,231.78,E,minor,0.4987
224.3,239.26,E,minor,0.5077
231.78,246.74,E,minor,0.501
239.26,254.21,E,minor,0.6285
246.74,261.69,G,major,0.8383
254.21,265.52,G,major,0.8405
