window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,A,major,0.8572
7.48,22.43,A,major,0.8296
14.95,29.91,C#,minor,0.7832
22.43,37.38,C#,minor,0.6851
29.91,44.86,E,major,0.6769
37.38,52.34,C#,minor,0.5379
44.86,59.81,C#,minor,0.6093
52.34,67.29,C#,minor,0.748
59.81,74.77,C#,minor,0.6842
67.29,82.25,C#,minor,0.5986
74.77,89.72,E,major,0.6895
82.25,97.2,C#,minor,0.7596
89.72,104.68,C#,minor,0.7639
97.2,112.15,E,major,0.6095
104.68,119.63,E,major,0.5447
112.15,127.11,C#,minor,0.5651
119.63,134.58,C#,minor,0.5531
127.11,142.06,C#,minor,0.6798
134.58,149.54,C#,minor,0.811
142.06,157.01,C#,minor,0.7291
149.54,164.49,E,major,0.7014
157.01,171.97,C#,minor,0.6985
164.49,179.44,E,major,0.718
171.97,186.92,E,major,0.8537
179.44,194.4,E,major,0.6424
186.92,201.87,E,major,0.4157
194.4,209.35,E,major,0.4934
201.87,216.83,E,major,0.6357
209.35,224.3,E,major,0.7564
216.83,231.78,A,major,0.8599
224.3,239.26,D,major,0.7663
231.78,242.9,D,major,0.7926
