window_start_sec,window_end_sec,key,mode,corr
0.0,14.95,G#,major,0.4253
7.48,22.43,D#,minor,0.4843
14.95,29.91,D#,minor,0.5051
22.43,37.38,D#,minor,0.4525
29.91,44.86,C#,minor,0.345
37.38,52.34,D#,minor,0.3528
44.86,59.81,D#,minor,0.4834
52.34,67.29,D#,minor,0.3939
59.81,74.77,G#,major,0.3544
67.29,82.25,G#,major,0.5254
74.77,89.72,G#,major,0.4763
82.25,97.2,G#,major,0.4429
89.72,104.68,G#,major,0.6423
97.2,112.15,G#,major,0.6692
104.68,119.63,D#,minor,0.5304
112.15,127.11,G#,major,0.4029
119.63,134.58,D#,minor,0.3736
127.11,142.06,D#,minor,0.5844
134.58,149.54,D#,minor,0.5284
142.06,157.01,D#,minor,0.3569
149.54,164.49,G#,major,0.5571
157.01,171.97,G#,major,0.7228
164.49,173.01,G#,major,0.6942
