idx,tag,bestdori_id,match_method,official_bpm,official_bpm_min,official_bpm_max,n_unique_bpm,dominant_coverage
158,hello_happy_world__158,697,band+title,132.0,132.0,132.0,1,1.0
159,hello_happy_world__159,780,band+title,147.0,147.0,147.0,1,1.0
160,hello_happy_world__160,146,band+title,158.0,148.0,158.0,2,0.8732315805486537
161,hello_happy_world__161,246,band+title,125.0,125.0,125.0,1,1.0
162,hello_happy_world__162,591,band+title,220.0,220.0,220.0,1,1.0
163,hello_happy_world__163,77,band+title,140.0,140.0,140.0,1,1.0
164,hello_happy_world__164,139,band+title,152.0,152.0,152.0,1,1.0
165,hello_happy_world__165,21,band+title,145.0,145.0,145.0,1,1.0
166,hello_happy_world__166,166,band+title,160.0,160.0,160.0,1,1.0
167,hello_happy_world__167,201,band+title,134.0,134.0,134.0,1,1.0
168,hello_happy_world__168,363,title-unique,134.0,134.0,134.0,1,1.0
169,hello_happy_world__169,141,band+title,250.0,250.0,250.0,1,1.0
170,hello_happy_world__170,88,band+title,124.0,124.0,124.0,1,1.0
171,hello_happy_world__171,472,band+title,170.0,100.0,170.0,2,0.926235554462749
172,hello_happy_world__172,285,band+title,168.0,168.0,168.0,1,1.0
173,hello_happy_world__173,297,band+title,148.0,148.0,148.0,1,1.0
174,hello_happy_world__174,482,band+title,153.0,153.0,153.0,1,1.0
175,hello_happy_world__175,191,band+title,158.0,158.0,158.0,1,1.0
176,hello_happy_world__176,320,band+title,110.0,110.0,110.0,1,1.0
177,hello_happy_world__177,22,band+title,183.0,183.0,183.0,1,1.0
180,morfonica__180,255,band+title,185.0,51.0,185.0,10,0.7841241490474141
181,morfonica__181,605,band+title,181.0,181.0,181.0,1,1.0
182,morfonica__182,279,band+title,190.0,190.0,190.0,1,1.0
183,morfonica__183,263,band+title,180.0,180.0,180.0,1,1.0
184,morfonica__184,436,band+title,185.0,185.0,185.0,1,1.0
185,morfonica__185,365,band+title,170.0,170.0,170.0,1,1.0
186,morfonica__186,256,band+title,175.0,175.0,175.0,1,1.0
187,morfonica__187,441,band+title,174.0,174.0,174.0,1,1.0
188,morfonica__188,300,band+title,182.0,182.0,182.0,1,1.0
189,morfonica__189,471,band+title,110.0,110.0,110.0,1,1.0
190,morfonica__190,435,band+title,184.0,184.0,184.0,1,1.0
191,morfonica__191,586,band+title,205.0,40.0,205.0,9,0.7425532960206337
192,morfonica__192,520,band+title,195.0,195.0,195.0,1,1.0
193,morfonica__193,703,band+title,153.0,153.0,153.0,1,1.0
194,morfonica__194,612,band+title,135.0,135.0,135.0,1,1.0
195,morfonica__195,555,band+title,145.0,109.0,145.0,2,0.8963822913191155
196,morfonica__196,327,band+title,132.0,132.0,132.0,1,1.0
197,morfonica__197,601,band+title,172.0,172.0,172.0,1,1.0
198,morfonica__198,663,band+title,195.0,195.0,195.0,1,1.0
199,morfonica__199,374,band+title,132.0,132.0,132.0,1,1.0
200,morfonica__200,636,band+title,140.0,23.0,140.0,6,0.8713440123009539
201,morfonica__201,347,band+title,131.0,90.0,131.0,2,0.8586072817249911
202,morfonica__202,500,band+title,198.0,198.0,198.0,1,1.0
203,morfonica__203,398,band+title,175.0,175.0,175.0,1,1.0
204,morfonica__204,654,band+title,202.0,202.0,202.0,1,1.0
210,morfonica__210,708,band+title,175.0,175.0,175.0,1,1.0
211,morfonica__211,692,band+title,172.0,172.0,172.0,1,1.0
212,morfonica__212,728,band+title,198.0,198.0,198.0,1,1.0
213,morfonica__213,798,band+title,200.0,200.0,200.0,1,1.0
214,morfonica__214,718,band+title,194.0,194.0,194.0,1,1.0
215,morfonica__215,724,band+title,195.0,195.0,195.0,1,1.0
216,morfonica__216,764,band+title,185.0,185.0,185.0,1,1.0
217,morfonica__217,530,band+title,185.0,77.0,185.0,4,0.8682859789884793
218,morfonica__218,581,band+title,192.0,192.0,192.0,1,1.0
219,morfonica__219,514,band+title,170.0,170.0,170.0,1,1.0
220,morfonica__220,688,band+title,140.0,140.0,140.0,1,1.0
221,morfonica__221,634,band+title,128.0,128.0,128.0,1,1.0
222,morfonica__222,775,band+title,145.0,145.0,145.0,1,1.0
223,morfonica__223,532,band+title,170.0,170.0,170.0,1,1.0
224,morfonica__224,563,band+title,118.0,118.0,118.0,1,1.0
225,morfonica__225,592,band+title,180.0,180.0,180.0,1,1.0
226,morfonica__226,259,band+title,165.0,165.0,165.0,1,1.0
227,morfonica__227,481,band+title,180.0,174.0,180.0,4,0.6243464288961896
228,morfonica__228,455,band+title,195.0,195.0,195.0,1,1.0
229,morfonica__229,418,title-unique,135.0,135.0,135.0,1,1.0
230,morfonica__230,295,band+title,206.5,75.0,206.5,2,0.7679247587638939
231,morfonica__231,257,band+title,170.0,170.0,170.0,1,1.0
232,morfonica__232,352,band+title,161.0,161.0,161.0,1,1.0
233,morfonica__233,408,band+title,135.0,135.0,135.0,1,1.0
234,morfonica__234,321,band+title,116.0,116.0,116.0,1,1.0
235,morfonica__235,329,band+title,185.0,185.0,185.0,1,1.0
236,morfonica__236,311,band+title,144.0,144.0,144.0,1,1.0
260,mygo__260,489,band+title,190.0,190.0,190.0,1,1.0
261,mygo__261,512,band+title,204.0,198.0,205.0,4,0.8464824517186775
262,mygo__262,515,band+title,192.0,192.0,192.0,1,1.0
263,mygo__263,540,band+title,166.0,166.0,166.0,1,1.0
264,mygo__264,542,band+title,222.0,222.0,222.0,1,1.0
265,mygo__265,698,band+title,135.0,135.0,135.0,1,1.0
266,mygo__266,668,band+title,200.0,200.0,200.0,1,1.0
267,mygo__267,667,title-unique,97.0,96.0,103.0,3,0.9899413212061453
268,mygo__268,522,band+title,190.0,110.0,190.0,2,0.8775292005406387
269,mygo__269,525,band+title,260.0,260.0,260.0,1,1.0
270,mygo__270,796,band+title,120.0,120.0,120.0,1,1.0
271,mygo__271,624,band+title,190.0,190.0,190.0,1,1.0
272,mygo__272,513,band+title,88.0,50.0,90.0,8,0.8776482080713108
273,mygo__273,642,band+title,130.0,130.0,130.0,1,1.0
277,mygo__277,754,band+title,181.0,178.0,181.0,3,0.6455409478668587
278,mygo__278,553,band+title,191.0,191.0,191.0,1,1.0
279,mygo__279,580,band+title,154.0,154.0,154.0,1,1.0
281,mygo__281,635,band+title,85.0,85.0,85.0,1,1.0
284,mygo__284,684,band+title,190.0,190.0,190.0,1,1.0
285,mygo__285,715,band+title,175.0,175.0,175.0,1,1.0
288,mygo__288,735,band+title,88.0,88.0,88.0,1,1.0
290,mygo__290,683,band+title,182.0,167.0,197.0,3,0.9860265646829055
291,mygo__291,719,band+title,180.0,180.0,180.0,1,1.0
292,mygo__292,680,band+title,145.0,145.0,145.0,1,1.0
293,mygo__293,644,band+title,175.0,151.0,175.0,4,0.8609093354856068
294,mygo__294,633,band+title,171.0,171.0,171.0,1,1.0
295,mygo__295,781,band+title,187.0,187.0,187.0,1,1.0
297,mygo__297,590,band+title,148.0,148.0,148.0,1,1.0
298,mygo__298,546,band+title,195.0,195.0,195.0,1,1.0
299,mygo__299,545,band+title,156.0,156.0,156.0,1,1.0
300,mygo__300,667,title-unique,97.0,96.0,103.0,3,0.9899413212061453
301,pastel_palettes__301,303,band+title,145.0,145.0,145.0,1,1.0
302,pastel_palettes__302,193,band+title,137.0,137.0,137.0,1,1.0
303,pastel_palettes__303,60,band+title,172.0,172.0,172.0,1,1.0
304,pastel_palettes__304,104,band+title,169.0,169.0,169.0,1,1.0
305,pastel_palettes__305,210,band+title,172.0,172.0,172.0,1,1.0
306,pastel_palettes__306,125,band+title,153.0,153.0,153.0,1,1.0
307,pastel_palettes__307,32,band+title,176.0,176.0,176.0,1,1.0
308,pastel_palettes__308,290,band+title,175.0,175.0,175.0,1,1.0
309,pastel_palettes__309,186,band+title,183.0,183.0,183.0,1,1.0
310,pastel_palettes__310,264,band+title,100.0,100.0,100.0,1,1.0
311,pastel_palettes__311,226,band+title,135.0,135.0,135.0,1,1.0
312,pastel_palettes__312,34,band+title,166.0,166.0,166.0,1,1.0
313,pastel_palettes__313,33,band+title,174.0,174.0,174.0,1,1.0
314,pastel_palettes__314,70,band+title,200.0,195.0,200.0,2,0.9062776304155614
315,pastel_palettes__315,106,band+title,137.0,137.0,137.0,1,1.0
316,pastel_palettes__316,148,band+title,177.0,177.0,177.0,1,1.0
317,pastel_palettes__317,169,band+title,170.0,170.0,170.0,1,1.0
318,pastel_palettes__318,242,band+title,167.0,167.0,167.0,1,1.0
319,pastel_palettes__319,324,band+title,163.0,163.0,163.0,1,1.0
320,pastel_palettes__320,370,band+title,170.0,170.0,170.0,1,1.0
321,pastel_palettes__321,396,band+title,171.0,171.0,171.0,1,1.0
322,pastel_palettes__322,420,band+title,190.0,190.0,190.0,1,1.0
323,pastel_palettes__323,424,band+title,146.0,115.0,146.0,3,0.8991707953553562
324,pastel_palettes__324,437,band+title,95.0,95.0,95.0,1,1.0
325,pastel_palettes__325,44,band+title,170.0,170.0,170.0,1,1.0
326,pastel_palettes__326,116,band+title,170.0,170.0,170.0,1,1.0
327,pastel_palettes__327,19,band+title,172.0,172.0,172.0,1,1.0
328,pastel_palettes__328,336,band+title,180.0,180.0,180.0,1,1.0
329,pastel_palettes__329,298,band+title,152.0,152.0,152.0,1,1.0
330,pastel_palettes__330,145,band+title,143.0,143.0,143.0,1,1.0
331,pastel_palettes__331,152,band+title,175.0,175.0,175.0,1,1.0
332,pastel_palettes__332,101,band+title,165.0,165.0,165.0,1,1.0
333,pastel_palettes__333,228,band+title,140.0,140.0,140.0,1,1.0
334,pastel_palettes__334,419,band+title,184.0,184.0,184.0,1,1.0
335,pastel_palettes__335,604,band+title,178.0,178.0,178.0,1,1.0
336,pastel_palettes__336,582,band+title,185.0,185.0,185.0,1,1.0
337,pastel_palettes__337,572,band+title,130.0,130.0,130.0,1,1.0
338,pastel_palettes__338,583,band+title,188.0,80.0,188.0,3,0.8063796114122984
339,pastel_palettes__339,548,band+title,136.0,126.0,136.0,2,0.8873797779129221
340,pastel_palettes__340,621,band+title,187.0,147.0,187.0,2,0.8525315177013794
341,pastel_palettes__341,603,band+title,145.0,145.0,145.0,1,1.0
342,pastel_palettes__342,687,band+title,140.0,140.0,140.0,1,1.0
343,pastel_palettes__343,645,band+title,138.0,138.0,138.0,1,1.0
344,pastel_palettes__344,694,band+title,210.0,128.0,210.0,2,0.9024453694068678
345,pastel_palettes__345,162,band+title,75.0,75.0,75.0,1,1.0
346,pastel_palettes__346,395,band+title,175.0,175.0,175.0,1,1.0
347,pastel_palettes__347,405,band+title,120.0,120.0,120.0,1,1.0
348,pastel_palettes__348,454,band+title,180.0,180.0,180.0,1,1.0
349,pastel_palettes__349,637,band+title,175.0,175.0,175.0,1,1.0
350,pastel_palettes__350,651,title-unique,141.0,141.0,141.0,1,1.0
351,pastel_palettes__351,675,band+title,168.0,168.0,168.0,1,1.0
352,pastel_palettes__352,745,title-unique,154.0,154.0,154.0,1,1.0
353,pastel_palettes__353,779,band+title,150.0,150.0,150.0,1,1.0
354,pastel_palettes__354,564,band+title,150.0,150.0,150.0,1,1.0
355,pastel_palettes__355,533,title-unique,160.0,160.0,160.0,1,1.0
356,pastel_palettes__356,213,band+title,102.0,102.0,102.0,1,1.0
357,pastel_palettes__357,124,band+title,160.0,160.0,160.0,1,1.0
358,pastel_palettes__358,260,band+title,160.0,160.0,160.0,1,1.0
359,pastel_palettes__359,587,band+title,166.0,166.0,166.0,1,1.0
360,pastel_palettes__360,18,band+title,144.0,144.0,144.0,1,1.0
361,pastel_palettes__361,59,band+title,180.0,180.0,180.0,1,1.0
362,pastel_palettes__362,129,band+title,172.0,172.0,172.0,1,1.0
363,pastel_palettes__363,176,band+title,170.0,170.0,170.0,1,1.0
364,pastel_palettes__364,167,band+title,182.0,182.0,182.0,1,1.0
365,pastel_palettes__365,384,title-unique,165.0,165.0,165.0,1,1.0
366,pastel_palettes__366,501,title-unique,170.0,170.0,170.0,1,1.0
367,pastel_palettes__367,79,band+title,130.0,130.0,130.0,1,1.0
368,pastel_palettes__368,85,band+title,127.0,127.0,127.0,1,1.0
369,pastel_palettes__369,198,band+title,174.0,174.0,174.0,1,1.0
370,pastel_palettes__370,315,band+title,172.0,172.0,172.0,1,1.0
371,pastel_palettes__371,238,band+title,160.0,160.0,160.0,1,1.0
372,pastel_palettes__372,317,band+title,130.0,130.0,130.0,1,1.0
373,pastel_palettes__373,342,band+title,172.0,172.0,172.0,1,1.0
374,pastel_palettes__374,274,band+title,165.0,165.0,165.0,1,1.0
375,poppin_party__375,1,band+title,185.0,185.0,185.0,1,1.0
376,poppin_party__376,2,band+title,195.0,195.0,195.0,1,1.0
377,poppin_party__377,12,band+title,125.0,125.0,125.0,1,1.0
378,poppin_party__378,4,band+title,190.0,190.0,190.0,1,1.0
379,poppin_party__379,24,band+title,180.0,180.0,180.0,1,1.0
380,poppin_party__380,25,band+title,180.0,180.0,180.0,1,1.0
381,poppin_party__381,115,band+title,134.0,134.0,134.0,1,1.0
382,poppin_party__382,43,band+title,181.0,181.0,181.0,1,1.0
383,poppin_party__383,45,band+title,164.0,164.0,164.0,1,1.0
386,poppin_party__386,73,band+title,192.0,192.0,192.0,1,1.0
387,poppin_party__387,64,band+title,120.0,120.0,120.0,1,1.0
388,poppin_party__388,91,band+title,138.0,90.0,138.0,2,0.8769079271294928
389,poppin_party__389,92,band+title,175.0,175.0,175.0,1,1.0
390,poppin_party__390,95,band+title,160.0,160.0,160.0,1,1.0
391,poppin_party__391,122,band+title,188.0,188.0,188.0,1,1.0
392,poppin_party__392,130,band+title,180.0,180.0,180.0,1,1.0
393,poppin_party__393,143,band+title,125.0,125.0,125.0,1,1.0
397,poppin_party__397,278,band+title,184.0,184.0,184.0,1,1.0
399,poppin_party__399,232,band+title,193.0,193.0,193.0,1,1.0
400,poppin_party__400,219,band+title,152.0,152.0,152.0,1,1.0
401,poppin_party__401,244,band+title,148.0,148.0,148.0,1,1.0
402,poppin_party__402,170,band+title,195.0,40.0,195.0,6,0.6324147915115326
403,poppin_party__403,234,band+title,145.0,145.0,145.0,1,1.0
405,poppin_party__405,180,band+title,185.0,104.0,185.0,10,0.8723138369557227
406,poppin_party__406,182,band+title,185.0,185.0,185.0,1,1.0
407,poppin_party__407,158,band+title,189.0,189.0,189.0,1,1.0
408,poppin_party__408,265,band+title,176.0,176.0,176.0,1,1.0
409,poppin_party__409,239,band+title,203.0,30.0,203.0,6,0.8732568151151776
410,poppin_party__410,3,band+title,220.0,220.0,220.0,1,1.0
411,poppin_party__411,5,band+title,176.0,176.0,176.0,1,1.0
412,poppin_party__412,13,band+title,182.0,182.0,182.0,1,1.0
413,poppin_party__413,40,band+title,140.0,140.0,140.0,1,1.0
414,poppin_party__414,61,band+title,160.0,160.0,160.0,1,1.0
415,poppin_party__415,47,band+title,147.0,147.0,147.0,1,1.0
416,poppin_party__416,112,band+title,180.0,180.0,180.0,1,1.0
417,poppin_party__417,211,band+title,183.0,183.0,183.0,1,1.0
418,poppin_party__418,155,band+title,210.0,210.0,210.0,1,1.0
419,poppin_party__419,220,band+title,186.0,186.0,186.0,1,1.0
420,poppin_party__420,177,band+title,176.0,176.0,176.0,1,1.0
421,poppin_party__421,202,band+title,170.0,170.0,170.0,1,1.0
422,poppin_party__422,701,band+title,177.0,177.0,177.0,1,1.0
423,poppin_party__423,381,band+title,165.0,165.0,165.0,1,1.0
424,poppin_party__424,650,band+title,190.0,190.0,190.0,1,1.0
425,poppin_party__425,643,band+title,142.0,142.0,142.0,1,1.0
426,poppin_party__426,294,band+title,150.0,150.0,150.0,1,1.0
427,poppin_party__427,354,band+title,190.0,190.0,190.0,1,1.0
428,poppin_party__428,390,band+title,200.0,200.0,200.0,1,1.0
429,poppin_party__429,391,band+title,175.0,175.0,175.0,1,1.0
430,poppin_party__430,490,band+title,125.0,125.0,125.0,1,1.0
431,poppin_party__431,599,band+title,165.0,165.0,165.0,1,1.0
432,poppin_party__432,614,band+title,188.0,188.0,188.0,1,1.0
433,poppin_party__433,625,band+title,140.0,140.0,140.0,1,1.0
434,poppin_party__434,326,band+title,190.0,190.0,190.0,1,1.0
435,poppin_party__435,312,band+title,156.0,156.0,156.0,1,1.0
437,poppin_party__437,447,band+title,190.0,190.0,190.0,1,1.0
438,poppin_party__438,349,band+title,190.0,190.0,190.0,1,1.0
439,poppin_party__439,557,band+title,134.0,134.0,134.0,1,1.0
440,poppin_party__440,452,band+title,183.0,183.0,183.0,1,1.0
441,poppin_party__441,433,band+title,165.0,165.0,165.0,1,1.0
442,poppin_party__442,469,band+title,128.0,128.0,128.0,1,1.0
443,poppin_party__443,493,band+title,180.0,180.0,180.0,1,1.0
444,poppin_party__444,476,band+title,182.0,182.0,182.0,1,1.0
445,poppin_party__445,712,band+title,150.0,150.0,150.0,1,1.0
446,poppin_party__446,669,band+title,192.0,192.0,192.0,1,1.0
447,poppin_party__447,765,band+title,178.0,178.0,178.0,1,1.0
448,poppin_party__448,768,band+title,186.0,186.0,186.0,1,1.0
449,poppin_party__449,58,title-unique,96.0,96.0,96.0,1,1.0
450,poppin_party__450,554,band+title,210.0,210.0,210.0,1,1.0
451,poppin_party__451,51,title-unique,194.0,194.0,194.0,1,1.0
452,poppin_party__452,415,title-unique,160.0,160.0,160.0,1,1.0
453,poppin_party__453,782,band+title,198.0,198.0,198.0,1,1.0
454,poppin_party__454,57,title-unique,188.0,188.0,188.0,1,1.0
455,poppin_party__455,80,title-unique,166.0,166.0,166.0,1,1.0
456,poppin_party__456,74,title-unique,168.0,168.0,168.0,1,1.0
457,poppin_party__457,527,band+title,186.0,186.0,186.0,1,1.0
458,poppin_party__458,741,band+title,194.0,194.0,194.0,1,1.0
459,poppin_party__459,371,band+title,224.0,224.0,224.0,1,1.0
460,poppin_party__460,240,band+title,140.0,140.0,140.0,1,1.0
