idx,tag,band,song,drum_tempo_bpm,n_candidates_in_range,base_in_range,selected_multiplier,selected_bpm,selected_acf,audio_status,cand_0.500_bpm,cand_0.500_acf,cand_0.667_bpm,cand_0.667_acf,cand_1.000_bpm,cand_1.000_acf,cand_1.500_bpm,cand_1.500_acf,cand_2.000_bpm,cand_2.000_acf
32,afterglow__032,afterglow,イマジネーション,101.3,3,True,1.0,101.3,0.5930430889129639,ok,,,,,101.3,0.5930430889129639,151.95,0.14342401921749115,202.6,0.49091872572898865
33,afterglow__033,afterglow,Butter-Fly,86.1,3,True,1.0,86.1,0.6474680304527283,ok,,,,,86.1,0.6474680304527283,129.14999999999998,0.25813883543014526,172.2,0.46789121627807617
34,afterglow__034,afterglow,燦々,97.5,3,True,1.0,97.5,0.6618035435676575,ok,,,,,97.5,0.6618035435676575,146.25,0.1451750546693802,195.0,0.5361600518226624
35,afterglow__035,afterglow,That's why I'm here.,92.3,3,True,1.0,92.3,0.6223064661026001,ok,,,,,92.3,0.6223064661026001,138.45,0.13373024761676788,184.6,0.5758637189865112
36,afterglow__036,afterglow,IGNITE GLOW,132.5,3,True,1.0,132.5,0.6203597784042358,ok,,,88.33333333333333,0.5065834522247314,132.5,0.6203597784042358,198.75,0.1670795977115631,,
37,afterglow__037,afterglow,ペトリコール・オベーション,92.3,3,True,1.0,92.3,0.666053831577301,ok,,,,,92.3,0.666053831577301,138.45,0.19675908982753754,184.6,0.507489800453186
38,afterglow__038,afterglow,Made My Day,95.7,3,True,1.0,95.7,0.6820517778396606,ok,,,,,95.7,0.6820517778396606,143.55,0.15949222445487976,191.4,0.5126802921295166
39,afterglow__039,afterglow,Glowing After,99.4,3,True,1.0,99.4,0.723404586315155,ok,,,,,99.4,0.723404586315155,149.10000000000002,0.0916442945599556,198.8,0.5685398578643799
40,afterglow__040,afterglow,A Sunset So Bright,126.0,2,True,1.0,126.0,0.5373085141181946,ok,,,,,126.0,0.5373085141181946,189.0,0.4916485846042633,,
41,afterglow__041,afterglow,Start as Usual,90.7,3,True,1.0,90.7,0.7907030582427979,ok,,,,,90.7,0.7907030582427979,136.05,0.15580886602401733,181.4,0.6409873962402344
42,afterglow__042,afterglow,“Say cheese!!!!!”,120.2,2,True,1.0,120.2,0.5501669645309448,ok,,,,,120.2,0.5501669645309448,180.3,0.17316356301307678,,
43,afterglow__043,afterglow,花笑みのデュオ,99.4,3,True,1.0,99.4,0.6616069078445435,ok,,,,,99.4,0.6616069078445435,149.10000000000002,0.1370570957660675,198.8,0.5946446061134338
44,afterglow__044,afterglow,READY STEADY GO (Cover),143.6,3,True,1.0,143.6,0.7886607050895691,ok,,,95.73333333333332,0.5669691562652588,143.6,0.7886607050895691,215.39999999999998,0.12107580155134201,,
45,afterglow__045,afterglow,abnormalize (Cover),87.6,3,True,1.0,87.6,0.6487451791763306,ok,,,,,87.6,0.6487451791763306,131.39999999999998,0.18184056878089905,175.2,0.5699948668479919
46,afterglow__046,afterglow,メンタルチェンソー (Cover),94.0,3,True,1.0,94.0,0.7886886596679688,ok,,,,,94.0,0.7886886596679688,141.0,0.11683718860149384,188.0,0.7514633536338806
47,afterglow__047,afterglow,Bunny Girl (Cover),79.5,2,True,2.0,159.0,0.37088295817375183,ok,,,,,,,119.25,0.06596454232931137,159.0,0.37088295817375183
48,afterglow__048,afterglow,オレンジ (Cover),99.4,3,True,1.0,99.4,0.4879249930381775,ok,,,,,99.4,0.4879249930381775,149.10000000000002,0.15181636810302734,198.8,0.46147245168685913
49,afterglow__049,afterglow,カゲロウデイズ (Cover),99.4,3,True,1.0,99.4,0.7746289968490601,ok,,,,,99.4,0.7746289968490601,149.10000000000002,0.12263469398021698,198.8,0.5840442180633545
50,afterglow__050,afterglow,DAY×DAY (Cover),95.7,3,True,1.0,95.7,0.7213041186332703,ok,,,,,95.7,0.7213041186332703,143.55,0.12463121116161346,191.4,0.5666132569313049
51,afterglow__051,afterglow,ロキ (Cover),147.7,2,True,1.0,147.7,0.6773708462715149,ok,,,98.46666666666665,0.4062619209289551,147.7,0.6773708462715149,,,,
52,afterglow__052,afterglow,CHAINSAW BLOOD (Cover),147.7,2,True,1.0,147.7,0.7189064025878906,ok,,,98.46666666666665,0.2498701959848404,147.7,0.7189064025878906,,,,
53,afterglow__053,afterglow,チルドレンレコード (Re:boot) (Cover),103.4,3,True,1.0,103.4,0.6309635639190674,ok,,,,,103.4,0.6309635639190674,155.10000000000002,0.19888749718666077,206.8,0.43688076734542847
54,afterglow__054,afterglow,青のすみか (Cover),152.0,2,True,1.0,152.0,0.7135205268859863,ok,,,101.33333333333333,0.4024164378643036,152.0,0.7135205268859863,,,,
55,afterglow__055,afterglow,GO!!! (Cover),132.5,3,True,1.0,132.5,0.6487829685211182,ok,,,88.33333333333333,0.4293687343597412,132.5,0.6487829685211182,198.75,0.13932444155216217,,
56,afterglow__056,afterglow,天ノ弱 (Cover),99.4,3,True,1.0,99.4,0.62490314245224,ok,,,,,99.4,0.62490314245224,149.10000000000002,0.1425515115261078,198.8,0.4765024185180664
57,afterglow__057,afterglow,アスノヨゾラ哨戒班 (Cover),92.3,3,True,1.0,92.3,0.7701380848884583,ok,,,,,92.3,0.7701380848884583,138.45,0.1332402378320694,184.6,0.7431896924972534
58,afterglow__058,afterglow,瞬間センチメンタル (Cover),84.7,2,True,2.0,169.4,0.6416510939598083,ok,,,,,,,127.05000000000001,0.1309145838022232,169.4,0.6416510939598083
59,afterglow__059,afterglow,プライド革命 (Cover),92.3,3,True,1.0,92.3,0.5807659029960632,ok,,,,,92.3,0.5807659029960632,138.45,0.20206132531166077,184.6,0.5308979153633118
60,afterglow__060,afterglow,命に嫌われている。 (Cover),99.4,3,True,2.0,198.8,0.7406646013259888,ok,,,,,99.4,0.7154443264007568,149.10000000000002,0.11619862914085388,198.8,0.7406646013259888
61,afterglow__061,afterglow,Redo (Cover),95.7,3,True,1.0,95.7,0.6434957981109619,ok,,,,,95.7,0.6434957981109619,143.55,0.12906807661056519,191.4,0.6395286321640015
62,afterglow__062,afterglow,インフェルノ (Cover),92.3,3,True,1.0,92.3,0.6506967544555664,ok,,,,,92.3,0.6506967544555664,138.45,0.19034343957901,184.6,0.5185790061950684
63,afterglow__063,afterglow,ドラマツルギー (Cover),74.9,2,True,2.0,149.8,0.4737457036972046,ok,,,,,,,112.35000000000001,0.2168847769498825,149.8,0.4737457036972046
64,afterglow__064,afterglow,COLORS (Cover),136.0,3,True,1.0,136.0,0.6772873997688293,ok,,,90.66666666666666,0.4020652174949646,136.0,0.6772873997688293,204.0,0.13158008456230164,,
65,afterglow__065,afterglow,午夜の待ち合わせ (Cover),94.0,3,True,1.0,94.0,0.6339131593704224,ok,,,,,94.0,0.6339131593704224,141.0,0.25753021240234375,188.0,0.5367417335510254
66,afterglow__066,afterglow,サムライハート（Some Like It Hot!!） (Cover),112.3,2,True,1.0,112.3,0.6065703630447388,ok,,,,,112.3,0.6065703630447388,168.45,0.1760750561952591,,
67,afterglow__067,afterglow,ベノム (Cover),152.0,2,True,1.0,152.0,0.685951828956604,ok,,,101.33333333333333,0.4857397675514221,152.0,0.685951828956604,,,,
68,afterglow__068,afterglow,Don't say “lazy” (Cover),90.7,3,True,1.0,90.7,0.6776283383369446,ok,,,,,90.7,0.6776283383369446,136.05,0.23016861081123352,181.4,0.4815607964992523
69,afterglow__069,afterglow,Part of the Life,92.3,3,True,1.0,92.3,0.6247348189353943,ok,,,,,92.3,0.6247348189353943,138.45,0.21840804815292358,184.6,0.6101770997047424
70,afterglow__070,afterglow,Punchline Halloween!!!,90.7,3,True,1.0,90.7,0.6275694370269775,ok,,,,,90.7,0.6275694370269775,136.05,0.2123928815126419,181.4,0.4495980441570282
71,afterglow__071,afterglow,I love your way！,129.2,3,True,1.0,129.2,0.7405964136123657,ok,,,86.13333333333333,0.506615161895752,129.2,0.7405964136123657,193.79999999999998,0.1578848958015442,,
72,ave_mujica__072,ave_mujica,KiLLKiSS,132.5,3,True,1.0,132.5,0.6112430095672607,ok,,,88.33333333333333,0.16492629051208496,132.5,0.6112430095672607,198.75,0.5990637540817261,,
73,ave_mujica__073,ave_mujica,"Georgette Me, Georgette You",143.6,3,True,1.0,143.6,0.4996357560157776,ok,,,95.73333333333332,0.48185333609580994,143.6,0.4996357560157776,215.39999999999998,0.11622059345245361,,
74,ave_mujica__074,ave_mujica,Imprisoned XII,105.5,3,True,1.0,105.5,0.5801123380661011,ok,,,,,105.5,0.5801123380661011,158.25,0.2683883607387543,211.0,0.10982993245124817
75,ave_mujica__075,ave_mujica,Crucifix X,136.0,3,True,1.5,204.0,0.5567607283592224,ok,,,90.66666666666666,0.11427731066942215,136.0,0.5282638072967529,204.0,0.5567607283592224,,
76,ave_mujica__076,ave_mujica,八芒星ダンス,114.8,2,True,1.0,114.8,0.6264259219169617,ok,,,,,114.8,0.6264259219169617,172.2,0.1254528909921646,,
77,ave_mujica__077,ave_mujica,顔,139.7,3,True,1.0,139.7,0.5786207318305969,ok,,,93.13333333333333,0.4304492175579071,139.7,0.5786207318305969,209.54999999999998,0.1752242147922516,,
78,ave_mujica__078,ave_mujica,天球のMúsica,129.2,3,True,1.0,129.2,0.6037585735321045,ok,,,86.13333333333333,0.163324773311615,129.2,0.6037585735321045,193.79999999999998,0.5631557703018188,,
79,ave_mujica__079,ave_mujica,黒のバースデイ,99.4,3,True,1.0,99.4,0.6188853979110718,ok,,,,,99.4,0.6188853979110718,149.10000000000002,0.14181558787822723,198.8,0.5789358615875244
80,ave_mujica__080,ave_mujica,ふたつの月 ~Deep Into The Forest~,120.2,2,True,1.0,120.2,0.6582884192466736,ok,,,,,120.2,0.6582884192466736,180.3,0.6084542870521545,,
81,ave_mujica__081,ave_mujica,Choir ‘S’ Choir,147.7,2,True,1.0,147.7,0.5464215874671936,ok,,,98.46666666666665,0.507085919380188,147.7,0.5464215874671936,,,,
82,ave_mujica__082,ave_mujica,神さま、バカ,120.2,2,True,1.0,120.2,0.5621331930160522,ok,,,,,120.2,0.5621331930160522,180.3,0.4995971918106079,,
83,ave_mujica__083,ave_mujica,Mas?uerade Rhapsody Re?uest,95.7,3,True,1.0,95.7,0.7166290879249573,ok,,,,,95.7,0.7166290879249573,143.55,0.10954712331295013,191.4,0.6016055345535278
84,ave_mujica__084,ave_mujica,Ave Mujica,112.3,2,True,1.0,112.3,0.5872777700424194,ok,,,,,112.3,0.5872777700424194,168.45,0.13088737428188324,,
85,ave_mujica__085,ave_mujica,Symbol I : △,117.5,2,True,1.0,117.5,0.7417780160903931,ok,,,,,117.5,0.7417780160903931,176.25,0.08756152540445328,,
86,ave_mujica__086,ave_mujica,Symbol II : Air,99.4,3,True,1.0,99.4,0.7252870202064514,ok,,,,,99.4,0.7252870202064514,149.10000000000002,0.4952964782714844,198.8,0.6320403218269348
87,ave_mujica__087,ave_mujica,Symbol III : ▽,166.7,2,True,1.0,166.7,0.5363341569900513,ok,,,111.13333333333333,0.517169713973999,166.7,0.5363341569900513,,,,
88,ave_mujica__088,ave_mujica,Symbol IV : Earth,147.7,2,True,1.0,147.7,0.5820783376693726,ok,,,98.46666666666665,0.5718317031860352,147.7,0.5820783376693726,,,,
89,ave_mujica__089,ave_mujica,Ether,126.0,2,True,1.0,126.0,0.5330414772033691,ok,,,,,126.0,0.5330414772033691,189.0,0.49393773078918457,,
90,ave_mujica__090,ave_mujica,The Whole Blue World,99.4,3,True,1.0,99.4,0.7764477133750916,ok,,,,,99.4,0.7764477133750916,149.10000000000002,0.10810039192438126,198.8,0.532585084438324
91,ave_mujica__091,ave_mujica,in your blue eyes,95.7,3,True,1.0,95.7,0.4086468517780304,ok,,,,,95.7,0.4086468517780304,143.55,0.3221893012523651,191.4,0.365104615688324
92,ave_mujica__092,ave_mujica,素晴らしき世界 でも どこにもない場所,132.5,3,True,1.0,132.5,0.5455199480056763,ok,,,88.33333333333333,0.10259197652339935,132.5,0.5455199480056763,198.75,0.48963284492492676,,
93,ave_mujica__093,ave_mujica,Angles,129.2,3,True,1.0,129.2,0.6077403426170349,ok,,,86.13333333333333,0.09749940782785416,129.2,0.6077403426170349,193.79999999999998,0.5298234224319458,,
94,ave_mujica__094,ave_mujica,DIVINE,117.5,2,True,1.0,117.5,0.7141826152801514,ok,,,,,117.5,0.7141826152801514,176.25,0.07564905285835266,,
95,ave_mujica__095,ave_mujica,Sophie,99.4,3,True,1.0,99.4,0.7253482341766357,ok,,,,,99.4,0.7253482341766357,149.10000000000002,0.1168990209698677,198.8,0.5843108296394348
96,ave_mujica__096,ave_mujica,‘S/’ The Way,156.6,2,True,1.0,156.6,0.6753653287887573,ok,,,104.39999999999999,0.47808510065078735,156.6,0.6753653287887573,,,,
97,ave_mujica__097,ave_mujica,碧い瞳の中に,95.7,3,True,1.0,95.7,0.41588643193244934,ok,,,,,95.7,0.41588643193244934,143.55,0.33164966106414795,191.4,0.36941179633140564
98,ave_mujica__098,ave_mujica,堕天 (Cover),103.4,3,True,1.0,103.4,0.7272520065307617,ok,,,,,103.4,0.7272520065307617,155.10000000000002,0.09643184393644333,206.8,0.6887381076812744
