idx,tag,band,song,drum_tempo_bpm,n_candidates,rule,decision_ratio,octave_shift,selected_bpm,base_in_range
69,afterglow__069,afterglow,Part of the Life,92.3,2,acf_up,0.977,1,184.6,True
70,afterglow__070,afterglow,Punchline Halloween!!!,90.7,2,acf_up,0.716,0,90.7,True
71,afterglow__071,afterglow,I love your way！,129.2,1,unique,,0,129.2,True
72,ave_mujica__072,ave_mujica,KiLLKiSS,132.5,1,unique,,0,132.5,True
73,ave_mujica__073,ave_mujica,"Georgette Me, Georgette You",143.6,1,unique,,0,143.6,True
74,ave_mujica__074,ave_mujica,Imprisoned XII,105.5,2,acf_up,0.189,0,105.5,True
75,ave_mujica__075,ave_mujica,Crucifix X,136.0,1,unique,,0,136.0,True
76,ave_mujica__076,ave_mujica,八芒星ダンス,114.8,1,unique,,0,114.8,True
77,ave_mujica__077,ave_mujica,顔,139.7,1,unique,,0,139.7,True
78,ave_mujica__078,ave_mujica,天球のMúsica,129.2,1,unique,,0,129.2,True
79,ave_mujica__079,ave_mujica,黒のバースデイ,99.4,2,acf_up,0.935,0,99.4,True
80,ave_mujica__080,ave_mujica,ふたつの月 ~Deep Into The Forest~,120.2,1,unique,,0,120.2,True
81,ave_mujica__081,ave_mujica,Choir ‘S’ Choir,147.7,1,unique,,0,147.7,True
82,ave_mujica__082,ave_mujica,神さま、バカ,120.2,1,unique,,0,120.2,True
83,ave_mujica__083,ave_mujica,Mas?uerade Rhapsody Re?uest,95.7,2,acf_up,0.839,0,95.7,True
84,ave_mujica__084,ave_mujica,Ave Mujica,112.3,1,unique,,0,112.3,True
85,ave_mujica__085,ave_mujica,Symbol I : △,117.5,1,unique,,0,117.5,True
86,ave_mujica__086,ave_mujica,Symbol II : Air,99.4,2,acf_up,0.871,0,99.4,True
87,ave_mujica__087,ave_mujica,Symbol III : ▽,166.7,1,unique,,0,166.7,True
88,ave_mujica__088,ave_mujica,Symbol IV : Earth,147.7,1,unique,,0,147.7,True
89,ave_mujica__089,ave_mujica,Ether,126.0,1,unique,,0,126.0,True
90,ave_mujica__090,ave_mujica,The Whole Blue World,99.4,2,acf_up,0.686,0,99.4,True
91,ave_mujica__091,ave_mujica,in your blue eyes,95.7,2,acf_up,0.893,0,95.7,True
92,ave_mujica__092,ave_mujica,素晴らしき世界 でも どこにもない場所,132.5,1,unique,,0,132.5,True
93,ave_mujica__093,ave_mujica,Angles,129.2,1,unique,,0,129.2,True
94,ave_mujica__094,ave_mujica,DIVINE,117.5,1,unique,,0,117.5,True
95,ave_mujica__095,ave_mujica,Sophie,99.4,2,acf_up,0.806,0,99.4,True
96,ave_mujica__096,ave_mujica,‘S/’ The Way,156.6,1,unique,,0,156.6,True
