idx,band,song,duration_sec,instr_stem_ratio,voice_median,voice_p10,voice_p90,voice_std,n_patches,error
724,mygo,Henceforth (Cover),234.3,0.652287,0.9999493956565856,0.229044109582901,0.9999998807907104,0.2993938326835632,156.0,
725,mygo,ティアドロップス (Cover),215.05,0.678967,0.9987534284591676,0.8308722376823425,0.999998927116394,0.1899721026420593,143.0,
726,mygo,遠心力 (Cover),197.48,0.757685,0.9999969005584716,0.9812766313552856,1.0,0.1413754075765609,131.0,
727,mygo,ないばいたりてぃ (Cover),213.02,0.875596,0.9902228116989136,0.475065529346466,0.9999195337295532,0.2324958890676498,142.0,
728,mygo,キリトリセン (Cover),237.25,0.627405,0.9957858920097352,0.3375612497329712,0.9999779462814332,0.2816509008407593,158.0,
729,mygo,もしも命が描けたら (Cover),201.94,0.660227,0.9997933506965636,0.9955626726150512,0.9999958872795104,0.156114712357521,134.0,
730,mygo,TEENAGE RIOT (Cover),223.77,0.66753,0.9989579916000366,0.198724627494812,0.9999635815620422,0.3039705157279968,149.0,
731,mygo,パメラ (Cover),194.6,0.658867,0.9994736313819884,0.5669370293617249,0.9999990463256836,0.1897962689399719,129.0,
732,mygo,栞 (Cover),262.97,0.667622,0.9998821020126344,0.7092643976211548,0.9999989867210388,0.1816820353269577,175.0,
733,mygo,シンデレラボーイ (Cover),231.64,0.682509,0.9992948770523072,0.8068411946296692,0.999988853931427,0.174810990691185,154.0,
734,mygo,少女レイ (Cover),288.8,0.798957,0.9992450475692748,0.1407601237297058,0.9999992847442628,0.3431420624256134,193.0,
735,mygo,正しくなれない (Cover),241.65,0.612792,0.9998989105224608,0.2925881445407867,0.9999998807907104,0.2784850597381592,161.0,
736,mygo,恋してる自分すら愛せるんだ (Cover),223.6,0.581524,0.9992524981498718,0.4836286902427673,0.9999918937683104,0.2374996542930603,149.0,
737,roselia,擬態ごっこ (Cover),147.55,0.753015,0.9993736743927002,0.9615036249160768,0.99997478723526,0.1247907057404518,98.0,
