idx,band,song,url,video_id,pc1,pc1_tertile,inclusion_prob
370,pastel_palettes,Make it! (Cover),https://youtu.be/l0RnmsJuvfo,l0RnmsJuvfo,0.8538546638649946,2,0.12
396,poppin_party,STAR BEAT!～ホシノコドウ～ ～Popipa Acoustic Ver.～,https://youtu.be/kj5orLd_XnA,kj5orLd_XnA,-6.061661813529854,0,0.10256410256410256
385,poppin_party,走り始めたばかりのキミに ～Popipa Acoustic Ver.～,https://youtu.be/PZlcgbhP8PY,PZlcgbhP8PY,-5.182027473881612,0,0.10256410256410256
487,poppin_party,怪物 (Cover),https://youtu.be/k49-xYTRmyY,k49-xYTRmyY,-2.133440274008381,0,0.10256410256410256
377,poppin_party,走り始めたばかりのキミに,https://youtu.be/pBKo-SAbtcM,pBKo-SAbtcM,-1.1134641737454627,0,0.10256410256410256
481,poppin_party,DAYS of DASH (Cover),https://youtu.be/dGAFk19MN6Q,dGAFk19MN6Q,-0.6423769713677077,1,0.10526315789473684
464,poppin_party,フィクション (Cover),https://youtu.be/NF-IGTDm138,NF-IGTDm138,-0.05020009710372674,1,0.10526315789473684
436,poppin_party,キミが始まる！,https://youtu.be/tjFia-3Se94,tjFia-3Se94,0.2855846932936604,1,0.10526315789473684
452,poppin_party,Freedom,https://youtu.be/oy6OCnr9eAg,oy6OCnr9eAg,0.4716190283076324,1,0.10526315789473684
400,poppin_party,Hello! Wink!,https://youtu.be/BduVH7BZj2k,BduVH7BZj2k,0.8067787887569694,2,0.10526315789473684
460,poppin_party,開けたらDream!,https://youtu.be/E7Vac5VF7Qg,E7Vac5VF7Qg,0.9944298766753309,2,0.10526315789473684
448,poppin_party,どきどきデエト,https://youtu.be/sk7nYFsnLto,sk7nYFsnLto,1.253758369099347,2,0.10526315789473684
447,poppin_party,START!! True dreams,https://youtu.be/SQ_-nPf-SNI,SQ_-nPf-SNI,2.094881510870972,2,0.10526315789473684
545,raise_a_suilen,Embrace of light,https://youtu.be/7LN3sI8JE5E,7LN3sI8JE5E,-3.7523807904233526,0,0.1111111111111111
526,raise_a_suilen,That Is How I Roll! (ライブ / アンコール),https://youtu.be/inRDSCi2O_E,inRDSCi2O_E,-2.1596666590239884,0,0.1111111111111111
499,raise_a_suilen,REIGNING,https://youtu.be/4i9vGzhaCg0,4i9vGzhaCg0,-0.8473898724627223,0,0.1111111111111111
562,raise_a_suilen,ボッカデラベリタ (Cover),https://youtu.be/1Ey5S6imOwM,1Ey5S6imOwM,1.2150621861467232,1,0.11538461538461539
514,raise_a_suilen,Life on the Lotus,https://youtu.be/zle_8SGQgcg,zle_8SGQgcg,1.659510412456482,1,0.11538461538461539
498,raise_a_suilen,!NVADE SHOW!,https://youtu.be/eLpe02tbeYU,eLpe02tbeYU,2.2331963719161783,1,0.11538461538461539
533,raise_a_suilen,HOWLING AMBITION,https://youtu.be/XYMoaMqyf6s,XYMoaMqyf6s,3.0273269656009787,2,0.07692307692307693
529,raise_a_suilen,TWIN TALE,https://youtu.be/pB350d7RuAg,pB350d7RuAg,4.204481491843221,2,0.07692307692307693
580,roselia,軌跡,https://youtu.be/P2BT98BC1N8,P2BT98BC1N8,-7.96874155320792,0,0.1
633,roselia,Swear ～Night & Day～,https://youtu.be/q9g4jk1-XCs,q9g4jk1-XCs,-5.9462163017921075,0,0.1
605,roselia,名前のない怪物,https://youtu.be/7jOjYce_f4c,7jOjYce_f4c,-1.2254100551726324,0,0.1
643,roselia,残酷な天使のテーゼ (Cover),https://youtu.be/wiuhDFE6h0Y,wiuhDFE6h0Y,-0.807735779970663,1,0.10344827586206896
651,roselia,革命デュアリズム (Cover),https://youtu.be/RKJtSnR-7cY,RKJtSnR-7cY,-0.3061362608442141,1,0.10344827586206896
622,roselia,Dear Gleam,https://youtu.be/ihQB9wYq89g,ihQB9wYq89g,0.5728383069152896,1,0.10344827586206896
624,roselia,THRONE OF ROSE,https://youtu.be/H_ngLOaoMvs,H_ngLOaoMvs,1.1430131992390993,2,0.1
623,roselia,Call the shots,https://youtu.be/VBn-ME6-jGs,VBn-ME6-jGs,1.2263481385472257,2,0.1
591,roselia,Song I am.,https://youtu.be/Kohn9PRanoY,Kohn9PRanoY,2.0028929624753737,2,0.1
