feature,r2_vs_rest,vif
m5-arousal_median,0.6991016760084554,3.3233817547887057
m4-lufs_integrated,0.4936794608342354,1.9750334474829776
m6-valence_median,0.4466689235403032,1.8072362868143326
m7-danceability_norm,0.410392480112061,1.6960434971895546
m8-acoustic_median,0.37187072898978,1.5920289758057296
m4-lra,0.35896193497633033,1.5599697655443847
m11-speech_median,0.28770683368923755,1.40391631886542
m3-mode_bin,0.10631838867440624,1.1189667408694968
m9-instr_stem_ratio,0.09686273330075856,1.1072513967392459
