,m3-mode_bin,m4-lufs_integrated,m4-lra,m5-arousal_median,m6-valence_median,m7-danceability_norm,m8-acoustic_median,m9-instr_stem_ratio,m11-speech_median
m3-mode_bin,1.0,-0.03669141345056763,-0.02815434369787948,-0.07179926416546428,0.20422149388162156,-0.007870390484545877,0.09376001101223258,-0.12873722214306033,-0.08538745712231546
m4-lufs_integrated,-0.03669141345056763,1.0,-0.27712872175112674,0.5798034254601506,-0.03173518247368258,-0.07112578094938002,-0.34667046343640456,0.15252414919756724,-0.1593564750085613
m4-lra,-0.02815434369787948,-0.27712872175112674,1.0,-0.4671263873136645,-0.3078589318539219,-0.44040113012850773,0.24067150881331312,-0.15333168649596107,-0.1382324670533569
m5-arousal_median,-0.07179926416546428,0.5798034254601506,-0.4671263873136645,1.0,0.4170006676268006,0.22789094384743316,-0.5960147103221431,0.15986712370519796,0.23895276266731175
m6-valence_median,0.20422149388162156,-0.03173518247368258,-0.3078589318539219,0.4170006676268006,1.0,0.4488184995571753,-0.16355476101880148,-0.10297272711486684,0.3016402441542984
m7-danceability_norm,-0.007870390484545877,-0.07112578094938002,-0.44040113012850773,0.22789094384743316,0.4488184995571753,1.0,-0.06516367135873878,0.08876482570801053,0.416264249891627
m8-acoustic_median,0.09376001101223258,-0.34667046343640456,0.24067150881331312,-0.5960147103221431,-0.16355476101880148,-0.06516367135873878,1.0,-0.16554989115755445,-0.1307866055649528
m9-instr_stem_ratio,-0.12873722214306033,0.15252414919756724,-0.15333168649596107,0.15986712370519796,-0.10297272711486684,0.08876482570801053,-0.16554989115755445,1.0,-0.007287391309353123
m11-speech_median,-0.08538745712231546,-0.1593564750085613,-0.1382324670533569,0.23895276266731175,0.3016402441542984,0.416264249891627,-0.1307866055649528,-0.007287391309353123,1.0
