idx,band,song,duration_sec,instr_stem_ratio,voice_median,voice_p10,voice_p90,voice_std,n_patches,error
4,afterglow,ツナグ、ソラモヨウ,,,0.9921858310699463,0.5798048377037048,0.9997309446334839,0.23358099162578583,166,
3,afterglow,I knew it!,,,0.9169033765792847,0.32029837369918823,0.9986507296562195,0.27848419547080994,194,
5,afterglow,Hey-day狂騒曲(カプリチオ),,,0.9980377554893494,0.30615925788879395,0.9999171495437622,0.2785700261592865,31,
0,afterglow,ON YOUR MARK,,,0.9691150188446045,0.15446093678474426,0.9998588562011719,0.32979121804237366,161,
1,afterglow,That Is How I Roll!,,,0.9988173246383667,0.6336851119995117,0.9999505281448364,0.19238640367984772,160,
8,afterglow,RED RED RED,,,0.9853048920631409,0.5730205774307251,0.999821126461029,0.2037840038537979,149,
7,afterglow,Sasanqua,,,0.9925254583358765,0.8106396794319153,0.9997988343238831,0.14995746314525604,158,
6,afterglow,"Easy come, Easy go!",,,0.8604950904846191,0.11645606905221939,0.998023509979248,0.34894558787345886,162,
2,afterglow,SENSENFUKOKU,,,0.9764816761016846,0.2007189393043518,0.999940037727356,0.31120261549949646,164,
14,afterglow,SWITCH ON NOW,,,0.9825958013534546,0.2843225598335266,0.9996771812438965,0.27982062101364136,138,
11,afterglow,Scarlet Sky,,,0.9987683296203613,0.8459821343421936,0.9999400973320007,0.11941337585449219,152,
13,afterglow,いつも通りのBrand new days,,,0.976909875869751,0.04950011149048805,0.9994199872016907,0.37093687057495117,158,
12,afterglow,Off we go.,,,0.9932888150215149,0.19539788365364075,0.9999346733093262,0.301977276802063,168,
10,afterglow,Y.O.L.O!!!!!,,,0.977929949760437,0.24910345673561096,0.9996892213821411,0.2945404052734375,181,
9,afterglow,ONE OF US,,,0.9236913919448853,0.02861151657998562,0.9998875260353088,0.3880769610404968,188,
17,afterglow,Trouble Joyful!!,,,0.9930086731910706,0.2697349190711975,0.999992847442627,0.2988833487033844,158,
16,afterglow,COMIC PANIC!!!,,,0.6734092831611633,0.04975146800279617,0.9902603030204773,0.3479016423225403,187,
15,afterglow,ランブリングメモリー,,,0.9883676171302795,0.580003023147583,0.9998401999473572,0.2060779482126236,217,
18,afterglow,Jamboree!Journey!,,,0.9972544312477112,0.8897811770439148,0.9999266266822815,0.12393525242805481,173,
20,afterglow,独創収差,,,0.9969280958175659,0.5403918027877808,0.999954879283905,0.2259686440229416,184,
19,afterglow,カナユメ,,,0.9993637204170227,0.8401069641113281,0.9999915361404419,0.14497452974319458,205,
21,afterglow,極彩色,,,0.9969124794006348,0.14046183228492737,0.9998973608016968,0.34620726108551025,159,
25,afterglow,カサブタ,,,0.9499802589416504,0.26123014092445374,0.9986629486083984,0.2906408905982971,131,
22,afterglow,サクラゼンセン,,,0.998309314250946,0.5146631002426147,0.9998825788497925,0.24307815730571747,166,
24,afterglow,Crow Song,,,0.9767175316810608,0.3067485988140106,0.9999281764030457,0.27750587463378906,163,
23,afterglow,True color,,,0.9987838864326477,0.45492830872535706,0.9999598264694214,0.25942060351371765,169,
26,afterglow,アイのシナリオ,,,0.996865451335907,0.5806543231010437,0.9999169707298279,0.21086396276950836,173,
28,afterglow,トーキョーワンダー。,,,0.9925267696380615,0.17400600016117096,0.9999744296073914,0.321892648935318,102,
27,afterglow,Northern lights,,,0.9676060080528259,0.10693947225809097,0.9995945692062378,0.3473893404006958,139,
29,afterglow,Reach Out To The Truth,,,0.996367871761322,0.8721320033073425,0.9999690055847168,0.08539780229330063,114,
30,afterglow,Listen!!,,,0.9877501130104065,0.27006760239601135,0.9996846914291382,0.28363651037216187,151,
32,afterglow,イマジネーション,,,0.9943966269493103,0.4811927378177643,0.999880850315094,0.2641562223434448,118,
34,afterglow,燦々,,,0.9996979236602783,0.6606940627098083,0.9999969005584717,0.18373116850852966,129,
31,afterglow,青い栞,,,0.9996455907821655,0.6816069483757019,0.9999971389770508,0.21273837983608246,225,
33,afterglow,Butter-Fly,,,0.999624490737915,0.6155244708061218,0.9999850988388062,0.21091388165950775,167,
35,afterglow,That's why I'm here.,,,0.9964622259140015,0.4717760682106018,0.9999327063560486,0.2509195804595947,174,
37,afterglow,ペトリコール・オベーション,,,0.9703495502471924,0.12329792976379395,0.9997084140777588,0.3526582717895508,146,
36,afterglow,IGNITE GLOW,,,0.9794473052024841,0.008556217886507511,0.9999425411224365,0.4040184020996094,178,
38,afterglow,Made My Day,,,0.9938360452651978,0.19303783774375916,0.9998396635055542,0.3232520818710327,162,
39,afterglow,Glowing After,,,0.9999085664749146,0.9514584541320801,0.999997615814209,0.13739542663097382,170,
40,afterglow,A Sunset So Bright,,,0.9905562996864319,0.30291929841041565,0.9997596144676208,0.26674240827560425,154,
41,afterglow,Start as Usual,,,0.9995284676551819,0.48384183645248413,0.9999971985816956,0.2295614629983902,184,
42,afterglow,“Say cheese!!!!!”,,,0.9995967149734497,0.8249529004096985,0.9999883770942688,0.15322624146938324,174,
43,afterglow,花笑みのデュオ,,,0.9998788833618164,0.7293403744697571,0.9999980926513672,0.18556438386440277,167,
44,afterglow,READY STEADY GO (Cover),,,0.9239169359207153,0.16190487146377563,0.9991014003753662,0.31996965408325195,147,
46,afterglow,メンタルチェンソー (Cover),,,0.9907850027084351,0.3721693456172943,0.9996570348739624,0.2530101537704468,118,
45,afterglow,abnormalize (Cover),,,0.8896579742431641,0.23359516263008118,0.9997443556785583,0.30752769112586975,146,
47,afterglow,Bunny Girl (Cover),,,0.999927818775177,0.84581458568573,0.9999976754188538,0.07748724520206451,144,
